name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
87,Kings Island,3,4,5,2,2009,4,37,229.656,0,80.156859,5282.088,86.3
90,La Ronde,3,4,5,2,2006,4,37,173.8824,0,68.35081,4038.6648,85.8
91,Europa Park,2,29,5,2,2009,14,57,124.6704,4,62.1371,3464.5248,85.7
95,Busch Gardens Tampa,3,4,5,5,1993,4,57,141.0744,7,59.651616,3969.768,85.4
96,Efteling,2,4,5,5,2015,4,11,124.6704,2,55.92339,1640.4,85.3
98,Disney California Adventure,3,22,5,5,2001,14,57,108.2664,1,54.680648,6069.48,85.2
100,Walibi Holland,2,29,5,2,2016,4,4,104.9856,2,54.059277,2230.944,84.9
101,Parque Warner Madrid,2,50,5,5,2002,3,70,190.2864,3,65.865326,1204.0536,84.7
102,Gardaland,2,4,5,5,2015,4,11,141.0744,2,62.1371,1856.9328,84.6
108,Disney's Animal Kingdom,3,50,5,2,2006,4,32,111.5472,0,49.70968,4399.5528,84
109,Movie Park Germany,2,29,5,2,2017,14,57,147.636,3,55.92339,2362.176,83.9
110,Universal Studios Singapore,1,37,5,5,2010,14,42,45,0,44.738712,2198.136,83.9
111,Adventureland,3,18,5,2,2016,4,44,134.5128,5,65.243955,2499.9696,83.8
112,Freizeitpark Plohn,2,17,9,2,2009,4,91,91.8624,0,46.602825,2460.6,83.8
113,Foire,1,45,5,5,1989,1,57,124.6704,5,49.70968,4101,83.5
115,Tripsdrill,2,18,5,2,2013,14,44,104.9856,0,62.1371,2296.56,83.5
116,Alton Towers,2,4,5,5,1998,4,11,65.616,0,68.35081,1220.4576,83.2
122,Ferrari World,1,22,5,2,2010,13,49,170.6016,0,149.12904,6561.6,82.7
125,Lake Compounce,3,7,9,2,2e3,4,71,114.828,0,60.272987,4724.352,82.4
126,Canada's Wonderland,3,4,5,2,2012,4,35,305.1144,0,91.962908,5485.4976,82
127,Port Aventura,2,4,5,5,1995,4,57,147.636,8,65.243955,4166.616,81.9
128,Attractiepark Slagharen,2,18,5,2,2017,14,44,108.2664,2,55.92339,1312.32,81.9
129,Le Pal,2,22,5,2,2018,16,24,39.3696,0,52.816535,3280.8,81.6
130,Universal Studios Japan,1,4,5,2,2007,4,63,144.3552,0,55.92339,3936.96,81.5
132,Efteling,2,17,9,2,2010,4,91,72.1776,0,46.602825,2585.2704,81.4
134,Alton Towers,2,18,5,2,2013,4,44,98.424,14,52.816535,3838.536,81.3
136,Efteling,2,17,9,2,2010,4,91,72.1776,0,46.602825,2585.2704,80.3
137,Rainbow MagicLand,2,31,5,2,2011,14,57,114.828,1,62.1371,2460.6,80.3
138,Six Flags America,3,22,5,2,2e3,4,63,196.848,0,72.700407,5347.704,80.2
139,Walibi Rhône Alpes,2,20,9,2,2016,4,91,55.7736,0,40.389115,1463.2368,79.2
140,Liseberg,2,45,5,2,1987,4,89,147.636,0,49.70968,5078.6784,79
146,Tokyo dome city,1,22,5,2,2003,3,37,262.464,0,80.77823,3510.456,78.3
149,Hersheypark,3,22,5,2,2008,4,57,121.3896,6,57.787503,2700.0984,78.1
150,Holiday World,3,20,9,2,2006,4,91,160.7592,0,67.108068,6440.2104,77.8
151,Parc Saint Paul,2,20,3,2,2018,4,92,49.212,0,37.903631,1571.5032,77.6
155,Parque Warner Madrid,2,4,5,5,2002,4,3,104.9856,5,49.70968,2700.0984,76.9
160,Gröna Lund,2,20,9,2,2011,4,91,49.212,0,37.903631,1574.784,76.1
161,Oakwood,2,7,9,2,1996,4,91,85.3008,0,47.845567,2956.0008,76
162,Holiday Park,2,37,5,2,2014,14,62,150.9168,1,62.1371,853.008,75.5
163,PowerPark,2,17,9,2,2006,4,91,88.5816,0,46.602825,2788.68,75.3
164,Quassy Amusement Park,3,20,9,2,2011,4,91,36.0888,0,34.796776,1240.1424,75
165,Farup Sommerland,2,18,5,5,2008,13,57,65.616,2,49.70968,1771.632,75
169,Dollywood,3,2,5,5,1999,4,57,164.04,3,62.758471,2683.6944,74.5
170,Fun Spot America,3,17,9,2,2013,4,71,75.4584,0,46.602825,1968.48,74.4
171,Kennywood,3,2,5,2,1991,4,37,229.656,0,82.020972,3198.78,74.3
173,Plopsaland,2,17,9,2,2017,4,72,72.1776,0,43.49597,2034.096,74.2
177,Knott's Berry Farm,3,17,9,2,1998,4,91,118.1088,0,55.92339,4534.0656,73.4
178,Phantasialand,2,50,5,2,1996,1,65,85.3008,0,31.06855,4199.424,73.3
179,Parque de Atracciones de Madrid,2,31,5,2,2006,4,97,150.9168,2,65.243955,1476.36,73.3
181,Disneyland Park,2,50,5,2,1992,4,66,72.1776,0,37.28226,4921.2,73.2
183,Fuji-Q Highland,1,48,5,2,1996,4,39,259.1832,0,80.77823,6709.236,72.9
185,Dorney Park,3,33,5,2,1997,4,37,200.1288,0,74.56452,5597.0448,72.3
186,Alton Towers,2,22,5,5,2005,13,73,68.8968,0,60.894358,2122.6776,71.9
187,Alton Towers,2,17,9,2,2018,4,91,72.1776,0,44.117341,2027.5344,71.8
189,Six Flags Great America,3,4,5,2,1999,4,37,203.4096,0,73.321778,5058.9936,71.7
193,Heide Park,2,22,5,2,2007,13,73,62.3352,0,62.1371,2132.52,71.3
196,Linnanmäki,2,31,5,5,2011,4,97,150.9168,2,65.243955,492.12,70.9
197,Djurs Sommerland,2,22,5,5,2013,16,24,39.3696,0,52.816535,3280.8,70.8
198,Dollywood,3,17,9,2,2004,4,91,101.7048,0,55.302019,3231.588,70.7
199,California's Great America,3,17,9,2,2013,4,91,108.2664,0,54.059277,3198.78,70.6
203,Six Flags Over Georgia,3,45,5,5,1978,4,57,82.02,2,50.331051,3254.5536,69.6
204,Kemah Boardwalk,3,20,9,2,2007,4,91,95.1432,0,50.952422,3234.8688,69.4
206,Six Flags Fiesta Texas,3,42,5,5,2015,4,30,118.1088,0,37.903631,1017.048,69.1
208,Six Flags Discovery Kingdom,3,22,5,5,2001,14,76,150.9168,1,65.243955,629.9136,68.8
210,Disneyland,3,14,5,2,2005,4,40,75.4584,0,32.311292,3451.4016,68.6
211,TusenFryd,2,22,5,5,2006,13,73,131.232,3,55.92339,2263.752,68.4
212,Busch Gardens Williamsburg,3,37,5,2,2015,14,52,150.9168,1,62.1371,862.8504,68.3
217,Six Flags Great America,3,22,5,5,2001,14,76,183.7248,0,70.214923,629.9136,67.9
218,Six Flags Great America,3,42,5,5,2017,4,30,121.3896,0,37.903631,1017.048,67.7
220,Nagashima Spa Land,1,33,5,2,2e3,4,34,318.2376,0,95.069763,8133.1032,67.5
